title,date,abstract,section,paragraph,URL
NATO Isn’t What It Says It Is,2023-07-11T05:00:09+0000,"From its origins, the alliance was never primarily concerned with military power.",Opinion,"NATO leaders convening this week in Vilnius, Lithuania, have every reason to toast their success.",https://www.nytimes.com/2023/07/11/opinion/nato-summit-vilnius-europe.html
"Despite Successes at NATO Summit, Divisions Remain",2023-07-12T19:55:04+0000,"The alliance added Sweden, laid out new ambitions for itself and offered long-term support for Ukraine, promising membership someday. But Kyiv wanted more.",World,"VILNIUS, Lithuania — NATO had some significant successes at its summit that ended Wednesday as it worked hard to project unity in support of Ukraine’s bloody defense against Russia’s invasion.",https://www.nytimes.com/2023/07/12/world/europe/nato-summit-ukraine-biden.html
Biden Hails NATO’s Unity Following Summit,2023-07-12T17:56:24+0000,"In a speech to cap the end of the NATO summit, President Biden praised the alliance’s support for Ukraine.",U.S.,"In a speech to cap the end of the NATO summit, President Biden praised the alliance’s support for Ukraine.",https://www.nytimes.com/video/us/politics/100000008993217/biden-nato-summit.html
Biden Arrives in Lithuania for NATO Summit,2023-07-10T18:19:01+0000,"NATO members will convene in Vilnius, Lithuania, as Sweden now appears close to being accepted into the alliance.",U.S.,"NATO members will convene in Vilnius, Lithuania, as Sweden now appears close to being accepted into the alliance.",https://www.nytimes.com/video/us/politics/100000008989474/biden-nato-summit.html
"Biden Braces NATO for Long Conflict With Russia, Making Cold War Parallel",2023-07-12T21:27:20+0000,"Concluding a NATO summit focused on the war in Ukraine and other fast-changing challenges, President Biden vowed that the alliance would oppose Russian aggression for as long as needed.",World,"President Biden concluded a meeting of NATO allies on Wednesday in Vilnius, Lithuania, with an address to that country, and the world, comparing the battle to expel Russia from Ukraine with the Cold War struggle for freedom in Europe, and promising “we will not waver” no matter how long the war continues.",https://www.nytimes.com/2023/07/12/world/europe/biden-nato-lithuania-ukraine.html
Turkey Clears the Way for Sweden’s Entry to NATO on the Eve of Summit,2023-07-10T09:30:09+0000,"The announcement allows the military alliance to project unity, which is getting harder to sustain as the war in Ukraine goes on.",U.S.,"Turkey agreed on Monday to clear the way for Sweden to join NATO, a sudden reversal that allows the alliance to project an image of unity and expansion on the eve of a critical summit intended to prepare for what could be a long war to repel Russia’s invasion of Ukraine.",https://www.nytimes.com/2023/07/10/us/politics/nato-biden-ukraine.html
Zelensky Leaves NATO Summit to Face Hard Realities of War,2023-07-13T12:55:47+0000,"The Ukrainian leader secured new pledges of weapons and reaffirmed security commitments from Western allies, but it was not clear how significant a boost they could provide for his country’s counteroffensive.",World,"President Volodymyr Zelensky of Ukraine was traveling home on Thursday from the NATO summit, emphasizing success in his efforts to draw his country closer to the alliance, though without the firm timeline to join that he had demanded.",https://www.nytimes.com/2023/07/13/world/europe/zelensky-ukraine-nato-summit.html
A NATO Invitation Will Make or Break Ukraine,2023-07-09T10:00:09+0000,The world won’t be a safer place if Ukraine is kept out of NATO.,Opinion,"KYIV, Ukraine — For decades, discussions about whether or not Ukraine should be admitted to NATO have revolved around the risks — to both Ukraine and member nations — of Ukraine being in the alliance. And at the core of those risks had been one overriding fear: that Ukraine’s membership might push President Vladimir Putin of Russia into a corner, prompting him to escalate his war.",https://www.nytimes.com/2023/07/09/opinion/ukraine-nato.html
"NATO Says It Will Invite Ukraine Some Day, Resisting Calls to Act Soon",2023-07-11T22:45:16+0000,"The alliance firmed up its plans to include Ukraine eventually, but gave no timetable, siding with President Biden and frustrating some East European members.",World,"NATO declared on Tuesday that Ukraine would be invited to join the alliance, but did not say how or when, disappointing its president but reflecting the resolve by President Biden and other leaders not to be drawn directly into Ukraine’s war with Russia.",https://www.nytimes.com/2023/07/11/world/europe/ukraine-nato-summit-biden.html
"NATO Says It Will Invite Ukraine to Join, but Offers No Timeline",2023-07-11T22:02:49+0000,"Also, there was another Taylor Swift ticket fiasco. Here’s the latest at the end of Tuesday.",Briefing,"Since before Russia invaded Ukraine, President Volodymyr Zelensky has been asking NATO for membership — an aspiration fixed in Ukraine’s Constitution since 2019. Today, at the alliance’s summit in Vilnius, Lithuania, all 31 NATO leaders agreed to offer an invitation. Yet Zelensky was left disappointed.",https://www.nytimes.com/2023/07/11/briefing/nato-ukraine-vermont-floods-taylor-swift.html
"Erdogan Says Yes, but Not So Fast, to Sweden’s NATO Bid",2023-07-12T17:39:55+0000,"After voicing his support for Sweden joining NATO, President Erdogan of Turkey said Sweden needed to take more steps to win the support of his country’s parliament, which he said will not take up the matter until October.",World,President Recep Tayyip Erdogan of Turkey on Wednesday tempered the expectation that his expression of support this week for Sweden joining NATO meant that he would swiftly push the approval through the Turkish parliament.,https://www.nytimes.com/2023/07/12/world/europe/erdogan-turkey-sweden-nato.html
Your Monday Briefing: NATO Prepares to Meet,2023-07-09T20:07:58+0000,"Also, Janet Yellen leaves Beijing with hope, but no breakthroughs.",Briefing,"Leaders of NATO countries are preparing for two days of meetings starting tomorrow in Vilnius, Lithuania’s capital.",https://www.nytimes.com/2023/07/09/briefing/nato-vilnius-yellen-beijing-asia.html
Biden Says Ukraine Is Not Ready for NATO Membership,2023-07-09T16:10:13+0000,"President Biden, who will attend a NATO summit in Europe this week, said it was “premature” to allow Ukraine to join the alliance as the war with Russia continues.",U.S.,President Biden said in an interview that aired on Sunday that Ukraine was not ready for membership in NATO and that it was “premature” to begin the process to allow Ukraine to join the alliance in the middle of a war.,https://www.nytimes.com/2023/07/09/us/politics/biden-ukraine-nato.html
What NATO Said About Ukraine: Highlights of the Alliance’s Communiqué,2023-07-11T17:07:42+0000,"Ukraine’s president wanted firmer commitments about when his country could join, but NATO’s 31 members did make some new pledges to draw Kyiv closer to the alliance.",World,"After weeks of tense negotiations, NATO on Tuesday invited Ukraine to join the alliance at some unspecified point in the future, but only when allies agree that conditions are ripe and that Ukraine has met the qualifications to join.",https://www.nytimes.com/2023/07/12/world/europe/nato-ukraine-membership.html
