title,date,abstract,section,paragraph,URL
What a Motherless Son Knows About Fatherhood,2023-06-16T09:00:06+0000,"It would be fair to compare my cumulative understanding of grief and fatherhood, which I’ve acquired intuitively, incrementally and in fragments, to a carefully constructed sequence of images.",Opinion,"It would be fair to compare my cumulative understanding of grief and fatherhood, which I’ve acquired intuitively, incrementally and in fragments, to a carefully constructed sequence of images.",https://www.nytimes.com/interactive/2023/06/16/opinion/fathers-day-photos.html
‘Mommunes’: Mothers Are Living Single Together,2023-05-12T09:00:36+0000,"Women are joining forces under one roof, using the age-old power of sisterhood to split the household bills and raise their children.",Real Estate,"First, Kristin Batykefer lost her marketing job when there was a management change. Then her marriage fell apart, and she suddenly found herself with no income and nowhere to go.",https://www.nytimes.com/2023/05/12/realestate/single-mother-households-co-living.html
Single Parenting in a Pandemic,2020-11-05T10:00:10+0000,How the crisis has dredged up one mother’s old regrets and worries about money.,Parenting,"My 9-year-old son looked absurd sitting at the dining room table in his school uniform after a summer spent in pajamas. He tugged at his shirt collar while I hovered a foot away, my hair unwashed and undyed. A single mom who had the privilege of working from home — at least while his school remained online — I was desperately attempting to navigate our two schedules.",https://www.nytimes.com/2020/11/05/parenting/single-parents-pandemic-coronavirus.html
"Single Parents Are Struggling, but Enduring, Through the Pandemic",2020-04-03T18:29:16+0000,NYT Parenting readers share their stories.,Parenting,"When the governor of Virginia announced that schools would remain closed through the end of the academic year because of the coronavirus pandemic, Edrenna Johnson started crying. She took that afternoon off work and ate brownies with her 5-year-old, wondering how she was going to get through three more months of working from home and taking care of her son on her own. Johnson thought she had found a balance, until her son came up to her while she was on a work call and whispered, “Mommy, I miss you,” in her ear. She felt deflated.",https://www.nytimes.com/2020/04/03/parenting/single-parents-coronavirus.html
  SINGLE PARENTS AND DATING,1985-09-16T05:00:00+0000,"  FOR single parents, dating while raising a child or two has a way of taking on the characteristics of a mission impossible.   Regardless of age, children have been known to turn from adorable angels into hostile horrors as soon as a date crosses the threshold. ''Suddenly the simple phrase, 'There's someone I'd like you to meet,' takes on a deadly ring,'' said Jeanette Lofas, executive director of the Stepfamily Foundation, a national counseling organization with headquarters in Manhattan.   There are awkward decisions, too, about sex when children are in the home.",Style,"FOR single parents, dating while raising a child or two has a way of taking on the characteristics of a mission impossible.",https://www.nytimes.com/1985/09/16/style/relationships-single-parents-and-dating.html
Single Parents' Family Trips,2002-06-23T05:00:00+0000,Martha Stevenson Olson Practical Traveler column explores vacation options for single parents with children; drawing (M),Travel,"DESPITE travel companies' targeting just about every niche imaginable, from spiritual pilgrims to extreme-sports enthusiasts, single parents and their children seem to have been largely overlooked. A recent Web search of vacation options for this group, which makes up nearly a third of United States families with children, revealed a host of challenges and limited choices.",https://www.nytimes.com/2002/06/23/travel/practical-traveler-single-parents-family-trips.html
"Single Parents, Around the World",2010-03-10T19:43:44+0000,"Across the industrialized world, about 15.9 percent of children live in single-parent households. Most of those households are headed by women.",Business Day,"A sizable minority of children in rich countries live with just one parent — a parent who is likely to be female, and also likely to be working.",https://economix.blogs.nytimes.com/2010/03/10/single-parents-around-the-world/
A Steeper Climb for Single Parents,2013-07-22T04:15:51+0000,Family structure was one of the four factors with a clear relationship to upward mobility in a new study comparing mobility across metropolitan areas.,Business Day," For single parents, every step on the climb up the income ladder can come with additional complications. Taking a job with a long commute can be impossible, because it leaves no back-up plan when a child gets sick. Working late can be similarly difficult. ",https://economix.blogs.nytimes.com/2013/07/22/a-steeper-climb-for-single-parents/
Single Parenting and Clive Owen,2009-09-15T13:12:24+0000,"Clive Owen discusses his new film “The Boys Are Back,” during an interview at the Toronto film festival.",Arts,"TORONTO — In “The Boys Are Back,” Clive Owen plays a sports writer who loses his wife to cancer and must raise his 6-year-old son on his own. The film, based on the memoir by Simon Carr, explores how to navigate a father-son relationship in the midst of tragedy. Mr. Owen spoke about working with his young co-star, Nicholas McAnulty, and what the child actor taught him about playing a scene.",https://artsbeat.blogs.nytimes.com/2009/09/15/single-parenting-and-clive-owen/
Single Parenting in South Korea,2009-10-07T18:35:02+0000,"In a culture where they are often ostracized, some unmarried mothers are joining together to assert their right to raise children without a spouse.",World,"In a culture where they are often ostracized, some unmarried mothers are joining together to assert their right to raise children without a spouse.",https://www.nytimes.com/slideshow/2009/10/07/world/20091007MOTHERS_index.html
