title,abstract,paragraph,URL
What a Motherless Son Knows About Fatherhood,"It would be fair to compare my cumulative understanding of grief and fatherhood, which I’ve acquired intuitively, incrementally and in fragments, to a carefully constructed sequence of images.","It would be fair to compare my cumulative understanding of grief and fatherhood, which I’ve acquired intuitively, incrementally and in fragments, to a carefully constructed sequence of images.",https://www.nytimes.com/interactive/2023/06/16/opinion/fathers-day-photos.html
‘Mommunes’: Mothers Are Living Single Together,"Women are joining forces under one roof, using the age-old power of sisterhood to split the household bills and raise their children.","First, Kristin Batykefer lost her marketing job when there was a management change. Then her marriage fell apart, and she suddenly found herself with no income and nowhere to go.",https://www.nytimes.com/2023/05/12/realestate/single-mother-households-co-living.html
Single Parenting in a Pandemic,How the crisis has dredged up one mother’s old regrets and worries about money.,"My 9-year-old son looked absurd sitting at the dining room table in his school uniform after a summer spent in pajamas. He tugged at his shirt collar while I hovered a foot away, my hair unwashed and undyed. A single mom who had the privilege of working from home — at least while his school remained online — I was desperately attempting to navigate our two schedules.",https://www.nytimes.com/2020/11/05/parenting/single-parents-pandemic-coronavirus.html
"Single Parents Are Struggling, but Enduring, Through the Pandemic",NYT Parenting readers share their stories.,"When the governor of Virginia announced that schools would remain closed through the end of the academic year because of the coronavirus pandemic, Edrenna Johnson started crying. She took that afternoon off work and ate brownies with her 5-year-old, wondering how she was going to get through three more months of working from home and taking care of her son on her own. Johnson thought she had found a balance, until her son came up to her while she was on a work call and whispered, “Mommy, I miss you,” in her ear. She felt deflated.",https://www.nytimes.com/2020/04/03/parenting/single-parents-coronavirus.html
  SINGLE PARENTS AND DATING,"  FOR single parents, dating while raising a child or two has a way of taking on the characteristics of a mission impossible.   Regardless of age, children have been known to turn from adorable angels into hostile horrors as soon as a date crosses the threshold. ''Suddenly the simple phrase, 'There's someone I'd like you to meet,' takes on a deadly ring,'' said Jeanette Lofas, executive director of the Stepfamily Foundation, a national counseling organization with headquarters in Manhattan.   There are awkward decisions, too, about sex when children are in the home.","FOR single parents, dating while raising a child or two has a way of taking on the characteristics of a mission impossible.",https://www.nytimes.com/1985/09/16/style/relationships-single-parents-and-dating.html
Single Parents' Family Trips,Martha Stevenson Olson Practical Traveler column explores vacation options for single parents with children; drawing (M),"DESPITE travel companies' targeting just about every niche imaginable, from spiritual pilgrims to extreme-sports enthusiasts, single parents and their children seem to have been largely overlooked. A recent Web search of vacation options for this group, which makes up nearly a third of United States families with children, revealed a host of challenges and limited choices.",https://www.nytimes.com/2002/06/23/travel/practical-traveler-single-parents-family-trips.html
"Single Parents, Around the World","Across the industrialized world, about 15.9 percent of children live in single-parent households. Most of those households are headed by women.","A sizable minority of children in rich countries live with just one parent — a parent who is likely to be female, and also likely to be working.",https://economix.blogs.nytimes.com/2010/03/10/single-parents-around-the-world/
A Steeper Climb for Single Parents,Family structure was one of the four factors with a clear relationship to upward mobility in a new study comparing mobility across metropolitan areas.," For single parents, every step on the climb up the income ladder can come with additional complications. Taking a job with a long commute can be impossible, because it leaves no back-up plan when a child gets sick. Working late can be similarly difficult. ",https://economix.blogs.nytimes.com/2013/07/22/a-steeper-climb-for-single-parents/
Single Parenting and Clive Owen,"Clive Owen discusses his new film “The Boys Are Back,” during an interview at the Toronto film festival.","TORONTO — In “The Boys Are Back,” Clive Owen plays a sports writer who loses his wife to cancer and must raise his 6-year-old son on his own. The film, based on the memoir by Simon Carr, explores how to navigate a father-son relationship in the midst of tragedy. Mr. Owen spoke about working with his young co-star, Nicholas McAnulty, and what the child actor taught him about playing a scene.",https://artsbeat.blogs.nytimes.com/2009/09/15/single-parenting-and-clive-owen/
Single Parenting in South Korea,"In a culture where they are often ostracized, some unmarried mothers are joining together to assert their right to raise children without a spouse.","In a culture where they are often ostracized, some unmarried mothers are joining together to assert their right to raise children without a spouse.",https://www.nytimes.com/slideshow/2009/10/07/world/20091007MOTHERS_index.html
Single Parenting and Clive Owen,"Clive Owen discusses his new film ""The Boys Are Back,"" during an interview at the Toronto film festival.","TORONTO - In ""The Boys Are Back,"" Clive Owen plays a sports writer who loses his wife to cancer and must raise his 6-year-old son on his own. The film, based on the memoir by Simon Carr, explores how to navigate a father-son relationship in the midst of tragedy. Mr. Owen spoke about working with his young co-star, Nicholas McAnulty, and what the child actor taught him about playing a scene.",https://artsbeat.blogs.nytimes.com/2009/09/15/blogs/15artsbeat-single-p36871.html
The Fun of Having a Single Parent,This weekend NBC is introducing two feel-good sitcoms about the healing properties of broken homes.,NBC is on a love campaign.,https://www.nytimes.com/2014/02/22/arts/television/nbc-rolls-out-about-a-boy-and-growing-up-fisher.html
"Single Parents Need Vacations Too, and More Destinations Want Them to Visit","If you’re a single parent looking for family vacation options that don’t assume two adults, these cruises and travel agencies — among other destinations — are here to help.","When Tanya McNally, a Tampa, Fl. resident who works in human resources, was planning a vacation a few years ago for herself and her two teenage sons, she had recently gotten divorced and felt anxious about the prospect of traveling with them alone.",https://www.nytimes.com/2018/11/01/travel/single-parents-need-vacations-too-and-more-destinations-want-them-to-visit.html
